Time,Arte,Autos,Belleza,Bienes raices,Ciencia,Comida,Compras,Comunidades,Deportes,Empresas,Finanzas,Hogar,Informatica,Internet,Juegos,Ley,Libros,Mascotas,Noticias,Pasatiempos,Personas,Referencia,Salud,Trabajos,Viajes
January 2004,43,40,24,35,61,28,47,10,21,55,37,28,72,31,41,61,72,46,30,43,53,49,43,67,37
February 2004,44,43,26,38,84,32,52,10,22,72,41,31,83,30,37,69,83,48,31,50,60,60,52,63,41
March 2004,48,43,27,37,82,34,46,10,24,73,42,33,83,31,38,76,86,50,34,46,63,60,58,60,47
April 2004,44,41,25,35,62,30,46,10,23,60,38,30,73,30,38,60,75,45,29,42,53,48,47,55,44
May 2004,47,44,28,39,72,35,50,10,25,68,43,33,84,34,40,71,86,54,34,49,63,53,56,67,45
June 2004,48,44,29,39,58,33,52,12,29,61,40,32,81,34,39,64,75,51,32,47,56,48,49,68,48
July 2004,46,41,27,41,36,30,51,11,24,47,38,30,76,34,44,48,54,40,31,42,49,37,37,62,48
August 2004,49,44,30,44,78,31,52,12,40,70,49,33,90,36,43,67,71,47,35,44,62,61,46,74,45
September 2004,51,48,31,43,100,37,54,12,30,83,50,38,100,36,43,85,88,54,43,49,70,78,59,72,48
October 2004,52,49,31,39,86,37,55,13,26,78,46,34,92,37,43,79,94,54,37,60,73,72,59,65,47
November 2004,50,51,29,40,81,38,56,13,27,74,47,35,86,37,43,77,98,56,41,56,70,66,58,61,47
December 2004,46,44,24,32,48,33,58,12,24,46,38,27,72,39,46,50,70,39,31,60,53,42,40,46,39
January 2005,48,49,26,41,62,31,51,12,24,57,45,30,78,42,43,64,78,47,35,47,60,55,46,72,44
February 2005,51,53,29,44,85,37,57,14,27,77,51,36,91,44,41,83,93,55,39,55,71,71,55,73,49
March 2005,48,46,26,41,60,33,49,14,25,62,47,32,75,40,41,67,77,48,34,43,61,53,48,62,50
April 2005,55,52,30,46,73,36,54,15,27,75,51,36,83,45,44,81,92,54,40,48,77,63,58,69,51
May 2005,54,51,32,45,69,37,54,16,30,70,51,35,82,43,44,77,92,55,37,50,69,58,58,71,50
June 2005,56,49,31,48,57,36,56,16,35,61,51,36,79,42,47,69,79,52,38,48,65,54,51,71,54
July 2005,55,47,30,46,35,31,55,17,27,48,47,32,73,41,51,56,60,42,41,41,56,43,40,67,56
August 2005,55,55,32,52,75,34,57,17,28,68,56,36,89,46,50,75,73,50,39,45,66,69,51,84,53
September 2005,56,54,32,51,97,37,57,17,33,80,57,37,94,47,48,88,90,57,43,51,75,85,60,73,51
October 2005,58,56,32,47,82,38,58,17,33,74,53,37,85,46,48,81,93,59,46,59,75,76,60,68,51
November 2005,58,55,32,44,81,40,60,17,31,73,53,37,83,45,48,80,99,55,41,54,73,70,59,65,50
December 2005,53,48,27,38,44,36,61,15,28,47,46,29,72,43,50,53,72,43,34,59,58,46,40,49,44
January 2006,53,52,29,50,54,32,54,16,31,55,53,33,75,45,49,70,76,48,39,45,62,56,46,73,50
February 2006,55,52,31,51,78,36,58,16,33,72,58,36,81,46,50,81,88,55,41,54,70,68,55,75,52
March 2006,57,55,32,52,74,38,55,17,33,72,59,38,77,45,48,85,85,56,46,47,69,65,57,71,60
April 2006,57,50,31,49,52,34,53,17,33,56,51,35,70,43,51,69,74,48,41,43,61,51,49,58,58
May 2006,63,55,34,54,71,39,60,18,40,71,60,38,82,49,50,81,93,57,45,51,72,60,58,76,58
June 2006,62,52,34,54,57,37,59,20,56,61,57,36,80,51,57,74,77,53,51,46,65,56,53,77,59
July 2006,59,52,33,50,34,33,58,19,37,47,54,33,71,49,57,64,53,46,81,42,57,44,41,70,62
August 2006,61,57,37,58,69,36,59,19,33,67,63,38,84,52,54,79,66,51,50,45,66,65,50,86,59
September 2006,63,57,36,58,89,40,60,19,34,76,60,39,86,51,54,89,81,66,51,51,73,80,59,75,58
October 2006,63,57,36,54,77,41,60,19,34,68,59,39,84,51,55,83,83,66,45,58,71,74,58,67,58
November 2006,63,57,32,49,65,41,59,19,35,63,58,37,78,49,54,78,81,55,46,53,66,62,55,58,57
December 2006,61,49,29,41,39,38,63,20,32,43,51,28,70,46,60,56,62,43,40,55,56,44,40,51,50
January 2007,62,56,32,56,50,35,56,21,32,55,60,35,75,52,56,70,72,49,46,43,61,57,47,82,58
February 2007,61,56,33,53,72,39,58,21,31,67,64,37,79,52,53,76,82,52,44,51,67,64,53,74,60
March 2007,67,58,35,57,65,39,55,22,34,68,65,39,78,53,57,81,80,55,44,47,71,62,57,72,71
April 2007,66,54,34,54,50,37,54,23,33,55,57,36,73,51,59,69,69,50,43,44,61,52,51,62,64
May 2007,72,58,39,59,63,42,60,24,38,67,62,40,81,55,65,81,84,56,49,57,69,60,59,80,67
June 2007,75,58,37,58,54,41,59,26,39,62,61,40,80,56,71,75,74,57,47,50,68,57,53,83,73
July 2007,72,58,36,60,33,39,61,27,38,50,63,37,75,55,73,63,60,48,45,43,63,47,44,81,79
August 2007,76,63,38,68,73,43,61,29,36,70,71,42,88,59,70,77,71,53,56,46,72,72,55,99,70
September 2007,79,62,38,61,93,45,61,29,36,78,69,44,95,61,67,91,85,65,55,51,77,87,63,83,66
October 2007,78,62,38,60,79,45,62,30,36,72,67,44,87,58,67,86,86,63,50,60,79,77,61,73,67
November 2007,76,60,35,57,68,49,60,29,35,67,64,41,82,55,66,77,83,56,48,54,73,67,59,67,63
December 2007,73,54,33,49,40,44,65,30,31,47,58,34,76,54,76,57,61,47,43,59,60,47,42,58,55
January 2008,76,64,35,63,53,40,59,30,33,59,67,39,76,55,71,76,74,54,49,48,70,61,51,89,63
February 2008,77,62,36,65,75,43,60,32,35,72,69,43,82,56,68,83,83,56,49,53,71,71,59,82,65
March 2008,75,58,35,57,50,40,54,32,33,56,60,39,76,53,72,68,63,51,44,47,64,55,51,64,65
April 2008,84,65,40,68,70,46,59,36,39,73,71,46,84,60,71,85,81,60,51,52,75,68,66,81,70
May 2008,86,61,39,64,64,45,60,37,42,68,67,43,85,59,77,81,79,58,52,54,72,63,59,80,66
June 2008,85,61,39,68,53,44,61,40,43,63,67,44,84,61,78,74,69,55,51,51,68,61,54,87,70
July 2008,88,64,42,70,34,42,61,41,35,53,70,42,80,64,90,64,53,50,52,45,65,50,46,83,74
August 2008,87,63,39,70,69,42,59,39,55,67,73,43,90,62,85,78,66,54,52,48,74,71,54,98,66
September 2008,88,63,39,68,84,44,58,38,36,75,72,45,91,61,76,89,79,62,57,52,78,83,60,80,62
October 2008,86,61,38,66,73,46,59,39,35,72,79,44,85,59,74,87,81,64,56,60,78,75,61,76,60
November 2008,84,57,37,60,65,45,58,37,35,65,69,42,81,57,76,80,80,59,53,54,73,65,57,68,57
December 2008,81,53,34,51,40,45,62,38,33,46,64,35,73,57,84,56,59,49,45,58,63,49,42,59,51
January 2009,81,60,37,64,49,41,58,37,35,56,68,41,78,59,77,70,67,57,50,47,68,60,49,86,57
February 2009,79,58,36,63,67,42,53,35,35,66,69,41,79,58,71,74,73,56,51,50,69,69,56,78,55
March 2009,80,59,37,63,63,42,52,35,35,65,70,42,77,59,71,78,70,57,50,47,69,64,57,72,61
April 2009,82,52,35,56,41,38,51,37,38,50,61,38,71,55,81,68,57,49,54,42,63,52,60,58,56
May 2009,85,56,38,62,53,42,55,39,40,59,61,42,76,58,80,69,70,54,53,46,68,58,56,76,54
