Time,Arte,Autos,Belleza,Bienes raices,Ciencia,Comida,Compras,Comunidades,Deportes,Empresas,Finanzas,Hogar,Informatica,Internet,Juegos,Ley,Libros,Mascotas,Noticias,Pasatiempos,Personas,Referencia,Salud,Trabajos,Viajes
October 2010,61,42,37,48,47,33,43,43,27,47,50,31,56,54,53,59,55,41,39,36,53,56,43,50,41
November 2010,59,42,36,46,44,33,43,43,28,45,49,32,53,54,53,59,57,44,39,36,53,53,42,47,40
December 2010,57,40,34,40,29,35,44,45,23,34,45,27,48,53,58,45,42,37,36,39,45,40,32,42,37
January 2011,90,65,55,70,51,47,63,70,37,62,68,45,76,82,88,82,78,63,58,48,77,74,54,88,59
February 2011,89,66,58,72,72,52,65,75,40,75,72,49,80,87,86,92,89,66,62,54,83,86,64,86,62
March 2011,91,67,61,71,67,51,62,77,39,74,71,51,79,82,83,97,84,70,60,52,79,82,68,80,64
April 2011,92,60,60,68,48,51,63,80,47,61,66,47,76,81,89,84,74,65,54,49,77,69,59,68,69
May 2011,96,64,62,72,61,54,65,77,48,69,71,51,78,82,83,89,84,67,56,55,79,75,64,82,64
June 2011,95,65,66,71,56,55,66,84,45,67,71,53,80,88,92,89,78,68,58,52,79,75,61,95,66
July 2011,97,62,65,71,35,52,66,86,43,56,67,47,75,87,100,79,71,64,58,48,73,66,51,81,67
August 2011,100,70,69,77,64,55,67,88,43,71,87,54,84,95,92,94,83,75,60,53,84,88,62,98,66
September 2011,95,67,68,73,81,55,67,84,39,74,81,54,85,90,84,98,95,78,56,55,87,97,68,84,63
October 2011,95,67,69,73,73,56,71,82,45,72,79,53,85,84,84,98,92,72,60,62,85,87,67,76,63
November 2011,97,65,63,68,71,56,75,82,43,70,80,56,82,78,82,88,97,79,59,66,88,81,66,72,63
December 2011,96,63,62,58,43,60,73,81,37,55,73,47,75,77,94,66,79,69,53,68,77,61,50,64,58
January 2012,94,70,66,71,55,56,69,80,40,64,81,51,78,81,84,82,95,90,58,60,85,76,63,90,63
February 2012,95,74,70,74,71,59,71,81,38,76,82,54,82,89,83,88,100,96,61,66,91,84,69,82,62
March 2012,96,77,71,71,67,60,71,84,43,73,86,58,78,85,86,93,93,91,58,62,93,79,70,79,69
